"city","dt_txt","temp","temp_min","temp_max","humidity","weather","wind_speed","wind_deg"
"Seoul","2025-06-13 18:00:00",20.32,19.44,20.32,90,"Clouds",0.81,98
"Seoul","2025-06-13 21:00:00",19.81,19.33,19.81,84,"Clouds",1.34,80
"Seoul","2025-06-14 00:00:00",24.91,24.91,24.91,63,"Clouds",0.97,127
"Seoul","2025-06-14 03:00:00",31.27,31.27,31.27,43,"Clouds",0.74,43
"Seoul","2025-06-14 06:00:00",32.94,32.94,32.94,35,"Clouds",1.62,265
"Seoul","2025-06-14 09:00:00",30.47,30.47,30.47,42,"Clear",4.64,271
"Seoul","2025-06-14 12:00:00",27.11,27.11,27.11,54,"Clear",2.45,238
"Seoul","2025-06-14 15:00:00",24.98,24.98,24.98,64,"Clear",2.31,223
"Seoul","2025-06-14 18:00:00",23.42,23.42,23.42,70,"Clear",1.95,216
"Seoul","2025-06-14 21:00:00",22.97,22.97,22.97,71,"Clear",0.96,163
"Seoul","2025-06-15 00:00:00",26.43,26.43,26.43,57,"Clouds",2.31,175
"Seoul","2025-06-15 03:00:00",29.57,29.57,29.57,50,"Clouds",3.13,168
"Seoul","2025-06-15 06:00:00",28.81,28.81,28.81,58,"Rain",5.82,232
"Seoul","2025-06-15 09:00:00",23.56,23.56,23.56,87,"Rain",3.75,213
"Seoul","2025-06-15 12:00:00",22.72,22.72,22.72,93,"Rain",2.88,206
"Seoul","2025-06-15 15:00:00",22.25,22.25,22.25,94,"Rain",2.27,197
"Seoul","2025-06-15 18:00:00",21.77,21.77,21.77,94,"Rain",1.54,194
"Seoul","2025-06-15 21:00:00",21.99,21.99,21.99,93,"Rain",0.88,161
"Seoul","2025-06-16 00:00:00",23.19,23.19,23.19,84,"Clouds",3.41,181
"Seoul","2025-06-16 03:00:00",25.01,25.01,25.01,69,"Clouds",6.78,207
"Seoul","2025-06-16 06:00:00",27.04,27.04,27.04,54,"Rain",8.47,218
"Seoul","2025-06-16 09:00:00",23.09,23.09,23.09,72,"Rain",6.68,210
"Seoul","2025-06-16 12:00:00",21.48,21.48,21.48,73,"Rain",5.4,211
"Seoul","2025-06-16 15:00:00",20.5,20.5,20.5,79,"Clouds",5.37,210
"Seoul","2025-06-16 18:00:00",20.29,20.29,20.29,81,"Clouds",4.92,211
"Seoul","2025-06-16 21:00:00",20.27,20.27,20.27,80,"Clouds",3.53,191
"Seoul","2025-06-17 00:00:00",20.93,20.93,20.93,77,"Rain",3.53,203
"Seoul","2025-06-17 03:00:00",23.79,23.79,23.79,66,"Clouds",3.85,214
"Seoul","2025-06-17 06:00:00",27.39,27.39,27.39,50,"Clouds",4.73,234
"Seoul","2025-06-17 09:00:00",24.86,24.86,24.86,63,"Clear",3.85,243
"Seoul","2025-06-17 12:00:00",22.51,22.51,22.51,76,"Clear",2,224
"Seoul","2025-06-17 15:00:00",21.26,21.26,21.26,84,"Clear",1.19,204
"Seoul","2025-06-17 18:00:00",20.34,20.34,20.34,90,"Clouds",1.25,217
"Seoul","2025-06-17 21:00:00",21.04,21.04,21.04,79,"Clouds",0.75,152
"Seoul","2025-06-18 00:00:00",24.9,24.9,24.9,60,"Clouds",1.22,102
"Seoul","2025-06-18 03:00:00",30.88,30.88,30.88,37,"Clear",1.84,259
"Seoul","2025-06-18 06:00:00",32.98,32.98,32.98,29,"Clear",3.69,267
"Seoul","2025-06-18 09:00:00",30.39,30.39,30.39,34,"Clouds",4.39,264
"Seoul","2025-06-18 12:00:00",26.55,26.55,26.55,47,"Clouds",1.37,278
"Seoul","2025-06-18 15:00:00",24.84,24.84,24.84,53,"Clear",1.28,259
"Washington, D.C.","2025-06-13 18:00:00",16.53,14.36,16.53,41,"Clear",2.48,19
"Washington, D.C.","2025-06-13 21:00:00",16.73,16.28,16.73,34,"Clear",2.15,24
"Washington, D.C.","2025-06-14 00:00:00",16.84,16.84,16.84,26,"Clouds",4.04,342
"Washington, D.C.","2025-06-14 03:00:00",17.3,17.3,17.3,42,"Clear",3.44,341
"Washington, D.C.","2025-06-14 06:00:00",13.85,13.85,13.85,71,"Clear",3.12,294
"Washington, D.C.","2025-06-14 09:00:00",8.38,8.38,8.38,78,"Clear",2.4,288
"Washington, D.C.","2025-06-14 12:00:00",7.67,7.67,7.67,76,"Clear",2.33,291
"Washington, D.C.","2025-06-14 15:00:00",15.7,15.7,15.7,46,"Clear",2.05,360
"Washington, D.C.","2025-06-14 18:00:00",22.37,22.37,22.37,28,"Clear",1.88,78
"Washington, D.C.","2025-06-14 21:00:00",26.2,26.2,26.2,24,"Clear",4.04,97
"Washington, D.C.","2025-06-15 00:00:00",26.94,26.94,26.94,23,"Clear",3.75,110
"Washington, D.C.","2025-06-15 03:00:00",22.2,22.2,22.2,37,"Clouds",1.56,320
"Washington, D.C.","2025-06-15 06:00:00",13.93,13.93,13.93,56,"Clouds",2.67,280
"Washington, D.C.","2025-06-15 09:00:00",11.4,11.4,11.4,66,"Clear",2.28,292
"Washington, D.C.","2025-06-15 12:00:00",10.1,10.1,10.1,68,"Clear",2.12,296
"Washington, D.C.","2025-06-15 15:00:00",17.45,17.45,17.45,41,"Clear",1.76,2
"Washington, D.C.","2025-06-15 18:00:00",25.17,25.17,25.17,23,"Clear",1.89,80
"Washington, D.C.","2025-06-15 21:00:00",28.48,28.48,28.48,20,"Clear",4.18,93
"Washington, D.C.","2025-06-16 00:00:00",28.86,28.86,28.86,19,"Clouds",4.3,105
"Washington, D.C.","2025-06-16 03:00:00",23.67,23.67,23.67,34,"Clouds",0.86,11
"Washington, D.C.","2025-06-16 06:00:00",15.96,15.96,15.96,51,"Clouds",2.56,281
"Washington, D.C.","2025-06-16 09:00:00",13.66,13.66,13.66,58,"Clouds",2.14,293
"Washington, D.C.","2025-06-16 12:00:00",13.24,13.24,13.24,56,"Clouds",2.01,296
"Washington, D.C.","2025-06-16 15:00:00",19.65,19.65,19.65,35,"Clouds",1.68,346
"Washington, D.C.","2025-06-16 18:00:00",26.19,26.19,26.19,23,"Clouds",2.07,23
"Washington, D.C.","2025-06-16 21:00:00",29.9,29.9,29.9,13,"Clouds",1.7,265
"Washington, D.C.","2025-06-17 00:00:00",27.81,27.81,27.81,14,"Clouds",4.17,336
"Washington, D.C.","2025-06-17 03:00:00",21.25,21.25,21.25,28,"Clear",3.33,307
"Washington, D.C.","2025-06-17 06:00:00",12.63,12.63,12.63,52,"Clear",3.09,283
"Washington, D.C.","2025-06-17 09:00:00",10.95,10.95,10.95,64,"Clear",2.81,289
"Washington, D.C.","2025-06-17 12:00:00",10.03,10.03,10.03,70,"Clear",2.44,288
"Washington, D.C.","2025-06-17 15:00:00",17.97,17.97,17.97,43,"Clear",2.09,344
"Washington, D.C.","2025-06-17 18:00:00",24.46,24.46,24.46,30,"Clear",2.17,47
"Washington, D.C.","2025-06-17 21:00:00",28.3,28.3,28.3,24,"Clouds",2.27,138
"Washington, D.C.","2025-06-18 00:00:00",28.41,28.41,28.41,23,"Clouds",1.23,208
"Washington, D.C.","2025-06-18 03:00:00",22.68,22.68,22.68,42,"Clouds",2.49,333
"Washington, D.C.","2025-06-18 06:00:00",14.03,14.03,14.03,70,"Clouds",3.12,281
"Washington, D.C.","2025-06-18 09:00:00",12.31,12.31,12.31,79,"Clouds",2.5,290
"Washington, D.C.","2025-06-18 12:00:00",12.52,12.52,12.52,76,"Clouds",2.33,274
"Washington, D.C.","2025-06-18 15:00:00",19.64,19.64,19.64,42,"Clear",2.57,294
"Paris","2025-06-13 18:00:00",32.29,30.38,32.29,46,"Clear",3.84,102
"Paris","2025-06-13 21:00:00",29.62,27.81,29.62,59,"Rain",1.63,92
"Paris","2025-06-14 00:00:00",22.46,22.46,22.46,90,"Rain",2.78,324
"Paris","2025-06-14 03:00:00",21.81,21.81,21.81,91,"Clouds",1.71,202
"Paris","2025-06-14 06:00:00",20.68,20.68,20.68,87,"Clouds",2.58,243
"Paris","2025-06-14 09:00:00",24.33,24.33,24.33,57,"Clouds",2.79,254
"Paris","2025-06-14 12:00:00",27.66,27.66,27.66,41,"Clouds",3.59,239
"Paris","2025-06-14 15:00:00",27.19,27.19,27.19,39,"Clouds",4.47,262
"Paris","2025-06-14 18:00:00",25.36,25.36,25.36,43,"Clouds",2.6,262
"Paris","2025-06-14 21:00:00",21.91,21.91,21.91,59,"Clouds",2.41,347
"Paris","2025-06-15 00:00:00",18.72,18.72,18.72,70,"Rain",2.61,10
"Paris","2025-06-15 03:00:00",18.08,18.08,18.08,62,"Clouds",2.61,342
"Paris","2025-06-15 06:00:00",17.38,17.38,17.38,60,"Clouds",2.67,334
"Paris","2025-06-15 09:00:00",20.68,20.68,20.68,51,"Clear",2.55,314
"Paris","2025-06-15 12:00:00",23.97,23.97,23.97,38,"Clouds",3.37,301
"Paris","2025-06-15 15:00:00",25.14,25.14,25.14,31,"Clear",4.74,312
"Paris","2025-06-15 18:00:00",22.5,22.5,22.5,38,"Clear",4.44,328
"Paris","2025-06-15 21:00:00",18.43,18.43,18.43,57,"Clear",3.69,333
"Paris","2025-06-16 00:00:00",16.06,16.06,16.06,67,"Clear",2.01,337
"Paris","2025-06-16 03:00:00",14.72,14.72,14.72,71,"Clear",1.18,312
"Paris","2025-06-16 06:00:00",16,16,16,67,"Clear",1.68,324
"Paris","2025-06-16 09:00:00",20.79,20.79,20.79,52,"Clear",2.24,344
"Paris","2025-06-16 12:00:00",24.55,24.55,24.55,41,"Clear",2.71,9
